trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.1999999999999997, 'e': 0.043282797901965896}",25,3,43.181112658276206,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.1999999999999997, 'e': 0.042425741080511385}",20,14,12.362547715723005,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.1999999999999997, 'e': 0.04158565512117316}",25,19,10.878844842724783,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.1999999999999997, 'e': 0.04076220397836621}",35,20,-25.093903661568845,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.1999999999999997, 'e': 0.039955058260653896}",25,14,25.05734277671067,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.1999999999999997, 'e': 0.039163895098987066}",20,3,32.26892765670886,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.1999999999999997, 'e': 0.038388398017552054}",20,0,34.33254877282289,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.1999999999999997, 'e': 0.0376282568071762}",25,13,25.493405409488165,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1999999999999997, 'e': 0.036883167401239994}",30,20,20.620969562047836,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.1999999999999997, 'e': 0.03615283175404641}",20,4,30.085070471877508,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.1999999999999997, 'e': 0.03543695772159864}",30,8,40.22414896847981,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.1999999999999997, 'e': 0.03473525894473856}",20,12,12.844471132599558,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.1999999999999997, 'e': 0.034047454734599344}",25,17,15.229024264704146,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.1999999999999997, 'e': 0.03337326996032608}",25,16,15.200259218570855,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1999999999999997, 'e': 0.03271243493901982}",20,5,22.28306077133,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.1999999999999997, 'e': 0.03206468532786077}",20,11,15.660596669182647,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.1999999999999997, 'e': 0.03142976201836771}",30,18,21.30376710622132,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.1999999999999997, 'e': 0.030807411032751076}",30,11,28.19508295940526,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
